username	lastname	firstname	party	constituency	followers	friends	tweets
eamonscanlontd	Scanlon	Eamon	Fianna Fail	Sligo Leitrim	2081	835	1737
ellenomdunlop	O'Malley Dunlop	Ellen	Fine Gael	Dublin South West	2665	1886	3990
emer_currie1	Currie	Emer	Fine Gael	Dublin West	1428	1421	1402
emerhigginscllr	Higgins	Emer	Fine Gael	Dublin Mid West	2130	1265	923
eobroin	Ó Broin	Eoin	Sinn Fein	Dublin Mid West	16338	1648	17561
eoinmadden	Madden	Eoin	Green Party	Galway East	1214	3284	12269
eugenemurphytd	Murphy	Eugene	Fianna Fail	Roscommon Galway	2445	908	11342
farrell_mairead	Farrell	Mairead	Sinn Fein	Galway West	3689	990	10602
farrellsandie	Farrell	Sandra	Fianna Fail	Tipperary	242	434	470
fergusodowd	O'Dowd	Fergus	Fine Gael	Louth	6554	4052	2858
fiannafailparty	Hanafin	Mary	Fianna Fail	Dun Laoghaire	38405	5149	31807
fiona_kildare	O'Loughlin	Fiona	Fianna Fail	Kildare South	3677	2479	
fnduffy	Duffy	Francis	Green Party	Dublin South West	2192	2520	1134
frankfeighan	Walsh	Thomas	Fine Gael	Sligo Leitrim	6107	5446	15889
frankfeighan	Feighan	Frank	Fine Gael	Sligo Leitrim	6107	5446	
gabmcfadden	McFadden	Gabrielle	Fine Gael	Longford Westmeath	1941	1755	
garretahearn	Ahearn	Garret	Fine Gael	Tipperary	1282	1717	2497
geraldnash	Nash	Ged	Labour	Louth	7561	1504	7800
girl_galway	Spelman	Marian	Labour	Galway East	311	468	259
hhumphreysfg	Humphreys	Heather	Fine Gael	Cavan Monaghan	9873	542	3163
hmcentee	McEntee	Helen	Fine Gael	Meath East	24385	2635	4101
hoeyannie	Hoey	Annie	Labour	Meath East	4959	2630	21185
hollyleahcairns	Cairns	Holly	Social Democrats	Cork South West	2434	2076	
imeldamunster	Munster	Imelda	Sinn Fein	Louth	2195	537	1314
jackfchambers	Chambers	Jack	Fianna Fail	Dublin West	4149	781	1624
jackiecahillff	Cahill	Jackie	Fianna Fail	Tipperary	3478	5644	3275
jamesbrownetd	Browne	James	Fianna Fail	Wexford	2784	1997	1615
jamesjcollins	Collins	James	Fianna Fail	Limerick City	2788	2159	11414
jamesoconnorff	O'Connor	James	Fianna Fail	Cork East	742	816	965
janosullivantd	O'Sullivan	Jan	Labour	Limerick City	12683	1216	8360
jenmurnaneoconn	Murnane O'Connor	Jennifer	Fianna Fail	Carlow Kilkenny	789	733	11572
jennyblakelk	Blake	Jenny	Social Democrats	Limerick City	693	1078	155
jerrybuttimer	Buttimer	Jerry	Fine Gael	Cork South Central	15389	6773	33216
jmaher0	Maher	John	Labour	Cork North Central	1261	1282	9256
jmcguinnesstd	McGuinness	John	Fianna Fail	Carlow Kilkenny	3815	383	1615
joanburton	Burton	Joan	Labour	Dublin West	20719	819	1846
joannatuffy	Tuffy	Joanna	Labour	Dublin Mid West	6701	6801	23415
joecareytd	Carey	Joe	Fine Gael	Clare	5148	1785	2441
joecostelloie	Costello	Joe	Labour	Dublin Central	6461	2240	4617
joefingalgreen	O'Brien	Joe	Green Party	Dublin Fingal	2095	758	3389
joefla	Flaherty	Joe	Fianna Fail	Longford Westmeath	2663	1320	3623
john_mcgahon	McGahon	John	Fine Gael	Louth	3698	1834	16807
johnbradysf	Brady	John	Sinn Fein	Wicklow	3340	1547	5261
johnlahart	Lahart	John	Fianna Fail	Dublin South West	2852	1929	2617
johnnyguirke	Guirke	Johnny	Sinn Fein	Meath West	143	326	144
johnnymythensf	Mythen	Johnny	Sinn Fein	Wexford	684	74	3368
johnpauloshea1	Paul O'Shea	John	Fine Gael	Cork North West	4124	4996	17283
josephamadigan	Madigan	Josepha	Fine Gael	Dublin Rathdown	12049	5142	23509
jpphelan	Paul Phelan	John	Fine Gael	Carlow Kilkenny	6359	1980	
julie_odonoghue	O'Donoghue	Julie	Green Party	Roscommon Galway	340	225	397
julietoconnell	O’Connell	Juliet	Labour	Dun Laoghaire	970	1744	1008
karen4westcork	Coakley	Karen	Fine Gael	Cork South West	556	1248	842
karindubsky	Dubsky	Karin	Green Party	Wexford	631	277	109
kathleensf1	Funchion	Kathleen	Sinn Fein	Carlow Kilkenny	2838	410	1056
kevinokeeffeff	O'Keeffe	Kevin	Fianna Fail	Cork East	1939	1335	984
khumphreysdbs	Humphreys	Kevin	Labour	Dublin Bay South	7825	4914	
